collection_group,track,rev,hcc_agnd,hcc_agdu,pct_dual,qual_score,m001,m134,m236
WI,B,Low Revenue,0.894,0.81,9.85,90.26,9.28,87.93,78.19
WI,EN,Low Revenue,1.009,1.106,4.07,90.33,5.92,90.35,79.06
WI,EN,Low Revenue,1.012,1.066,3.08,92.42,4.75,94.88,83.2
WI,B,High Revenue,1.178,1.088,5.58,86.02,5.22,90.0,82.03
WI,B,High Revenue,0.915,0.971,7.32,82.13,4.95,77.51,83.97
WI,EN,High Revenue,0.918,0.937,7.32,77.44,7.09,62.5,73.75
WI,EN,Low Revenue,0.993,0.968,9.03,89.64,10.67,76.31,82.58
eCQM,EN,Low Revenue,0.98,0.802,15.65,74.59,28.6,71.61,71.15
WI,E,High Revenue,1.022,0.903,12.16,85.08,9.33,87.13,83.89
WI,EN,Low Revenue,0.959,0.882,6.62,83.28,8.7,76.08,85.88
WI,EN,Low Revenue,0.897,0.728,23.93,88.13,8.49,90.94,80.3
WI,B,Low Revenue,0.941,0.884,8.98,87.98,8.97,77.93,80.07
WI,E,High Revenue,0.988,1.017,1.76,94.82,4.07,87.94,86.1
WI,B,High Revenue,0.998,1.049,3.79,89.4,6.38,89.79,71.98
WI,EN,Low Revenue,1.012,1.016,9.39,85.46,7.39,69.06,84.92
WI,EN,High Revenue,0.972,0.93,3.27,91.54,3.76,93.21,85.07
WI,B,Low Revenue,1.033,0.799,33.36,75.13,14.86,97.51,81.67
WI,E,Low Revenue,1.086,1.047,5.82,92.65,8.43,90.98,78.57
WI,B,Low Revenue,0.987,0.963,10.6,81.58,10.96,90.74,77.45
WI,B,High Revenue,1.003,0.729,51.33,83.66,9.69,90.72,80.72
WI,EN,High Revenue,0.968,0.95,6.69,91.8,8.09,71.43,81.78
WI,B,High Revenue,0.983,0.766,19.58,88.93,11.11,84.68,83.64
WI,EN,High Revenue,1.013,0.997,9.71,88.97,7.92,86.72,82.39
WI,EN,Low Revenue,1.01,1.069,3.28,88.16,6.38,88.52,88.34
WI,EN,Low Revenue,1.026,0.994,3.8,87.92,7.01,80.36,88.03
eCQM,EN,Low Revenue,0.903,0.752,34.74,77.05,27.76,81.92,65.39
WI,EN,Low Revenue,1.094,1.05,2.33,95.6,6.14,93.77,80.23
WI,B,High Revenue,1.007,0.867,28.44,74.51,13.27,83.86,68.93
WI,E,Low Revenue,0.784,0.679,36.62,79.47,16.6,98.18,72.5
WI,EN,High Revenue,0.967,0.89,4.66,94.52,5.3,97.68,79.29
WI,E,Low Revenue,0.892,0.714,2.11,75.81,9.63,76.04,78.87
WI,E,Low Revenue,0.924,1.045,2.13,91.63,4.62,92.68,83.2
WI,EN,High Revenue,1.005,1.052,5.4,90.43,9.86,78.73,82.69
WI,B,High Revenue,0.946,1.024,8.6,68.82,22.88,55.61,60.22
WI,E,High Revenue,1.161,1.192,16.31,82.45,10.4,91.57,72.29
WI,B,Low Revenue,0.946,1.045,5.1,85.02,7.51,91.63,83.04
WI,B,Low Revenue,0.906,0.732,23.56,79.78,9.7,88.04,75.17
WI,B,High Revenue,0.951,1.071,6.52,85.1,9.3,74.31,75.77
WI,B,Low Revenue,1.217,1.245,5.64,82.27,7.86,93.88,80.14
WI,B,High Revenue,1.184,1.063,8.42,79.86,13.82,88.54,72.87
WI,E,High Revenue,1.073,1.062,10.52,88.22,9.12,77.04,73.65
WI,B,High Revenue,0.901,0.948,7.8,85.98,8.55,84.33,74.07
WI,B,High Revenue,1.061,0.877,6.7,82.81,17.34,75.3,73.39
WI,B,Low Revenue,1.105,1.078,2.81,80.2,7.1,79.76,80.24
WI,B,Low Revenue,1.068,1.065,3.15,85.71,5.89,90.22,97.86
WI,B,Low Revenue,1.006,1.013,3.92,83.58,14.26,81.44,67.01
WI,D,Low Revenue,0.968,1.138,8.03,80.65,8.79,83.07,76.3
WI,EN,High Revenue,0.843,0.824,3.45,90.42,7.28,85.35,79.21
WI,B,High Revenue,1.004,0.927,5.02,89.26,6.18,85.5,77.19
WI,B,Low Revenue,0.98,0.993,2.37,82.25,9.18,94.07,78.48
WI,E,Low Revenue,0.989,1.083,5.73,87.19,8.98,82.33,84.46
WI,EN,High Revenue,1.07,0.972,5.26,82.59,8.01,74.09,82.72
WI,E,High Revenue,1.052,0.978,6.85,89.59,7.67,86.23,79.17
WI,EN,High Revenue,1.095,0.971,8.3,77.33,7.59,69.39,75.31
WI,B,High Revenue,0.959,1.027,6.95,76.55,9.12,78.33,73.93
WI,B,High Revenue,0.919,0.812,6.79,77.41,7.92,81.98,80.08
WI,E,Low Revenue,0.993,0.982,13.57,82.96,12.1,92.8,82.4
WI,B,High Revenue,1.008,0.922,5.4,81.63,6.45,90.48,75.19
WI,E,High Revenue,0.917,1.062,4.16,81.6,8.7,57.3,72.41
WI,EN,High Revenue,0.956,1.03,2.79,84.34,7.14,82.44,82.1
WI,B,High Revenue,0.929,0.811,4.53,79.07,9.21,76.38,82.16
WI,B,High Revenue,0.96,0.94,2.47,90.9,5.93,87.72,84.29
WI,B,High Revenue,0.928,0.942,5.58,76.2,11.87,77.92,81.9
WI,B,High Revenue,0.9,0.814,2.45,77.6,10.4,78.57,72.9
WI,B,High Revenue,0.974,0.946,10.92,79.26,15.54,75.62,78.31
WI,B,High Revenue,0.963,1.074,11.24,77.05,15.44,74.57,73.55
WI,EN,Low Revenue,0.9,0.959,3.51,80.95,6.45,89.66,76.07
WI,B,High Revenue,0.961,0.888,4.07,75.95,8.95,67.36,76.37
WI,B,High Revenue,0.97,0.917,5.85,78.34,11.81,74.29,85.26
WI,B,High Revenue,0.931,0.907,7.19,77.05,12.06,69.89,76.85
WI,EN,High Revenue,0.959,0.921,2.04,89.17,7.91,90.08,74.61
WI,B,High Revenue,0.971,0.85,6.71,82.11,7.09,70.15,70.2
WI,B,High Revenue,1.152,0.946,7.77,80.18,13.65,80.97,67.34
WI,D,Low Revenue,0.918,0.892,2.63,79.0,8.11,86.68,73.75
WI,B,Low Revenue,0.957,0.89,3.24,92.86,5.93,95.45,74.38
WI,EN,Low Revenue,1.156,0.937,3.88,83.95,10.76,80.15,76.05
WI,EN,Low Revenue,0.949,0.766,81.3,56.45,36.29,55.89,53.01
WI,EN,Low Revenue,0.917,0.956,3.77,88.72,3.1,84.43,78.15
WI,B,High Revenue,1.015,1.142,2.68,86.23,5.24,76.19,77.65
WI,B,Low Revenue,0.995,0.812,1.05,87.73,5.21,86.4,73.96
WI,B,High Revenue,1.155,1.027,25.92,83.7,13.3,75.9,70.65
WI,B,Low Revenue,0.992,1.001,9.07,71.52,10.0,72.76,67.7
WI,D,Low Revenue,0.992,0.94,6.78,85.23,6.28,74.56,70.97
MIPS CQM,EN,Low Revenue,1.037,0.938,14.17,77.05,28.21,42.6,76.68
WI,E,High Revenue,1.043,1.023,2.94,87.65,9.13,93.57,75.0
WI,B,Low Revenue,1.041,0.992,1.16,84.21,9.16,86.44,71.28
WI,B,Low Revenue,0.905,0.885,13.13,81.54,8.99,77.58,77.53
WI,EN,Low Revenue,0.981,0.891,2.13,89.09,6.52,78.59,88.51
WI,EN,Low Revenue,0.948,0.899,3.81,92.15,9.03,92.02,90.76
WI,EN,Low Revenue,1.027,0.97,5.5,87.3,7.67,82.98,88.09
WI,B,High Revenue,1.048,1.085,5.04,82.54,10.9,77.82,78.57
WI,E,Low Revenue,0.987,1.029,4.96,82.45,9.72,85.62,84.13
WI,EN,Low Revenue,0.952,0.767,7.72,89.25,9.22,75.54,71.98
WI,B,High Revenue,0.841,0.984,8.18,86.88,12.59,81.54,72.22
WI,B,High Revenue,1.067,0.955,11.03,69.71,16.64,89.02,63.32
WI,E,Low Revenue,1.021,0.96,2.85,79.77,16.84,92.86,70.38
WI,EN,High Revenue,1.032,1.101,6.51,85.05,6.25,89.63,83.54
eCQM,EN,Low Revenue,0.801,0.711,62.77,57.29,37.73,59.39,66.53
WI,EN,Low Revenue,0.953,0.935,13.14,88.12,10.54,95.76,84.86
WI,EN,Low Revenue,1.001,0.935,5.19,92.5,7.08,89.09,84.47
WI,E,High Revenue,0.979,1.033,7.54,87.58,8.09,76.34,76.32
WI,E,Low Revenue,1.023,1.091,4.76,97.41,9.42,92.19,87.57
MIPS CQM,EN,High Revenue,0.984,0.879,15.06,60.65,8.67,,73.75
WI,B,High Revenue,0.994,1.133,13.09,85.4,8.63,98.31,70.16
WI,E,High Revenue,0.951,1.097,6.11,90.02,5.28,90.3,77.58
WI,EN,High Revenue,1.051,1.076,3.55,85.21,10.95,77.21,83.52
WI,E,Low Revenue,0.883,0.856,36.23,81.34,16.14,83.13,74.56
WI,EN,Low Revenue,0.995,0.942,2.25,96.71,7.06,89.11,77.73
WI,EN,High Revenue,0.938,0.83,7.97,86.7,6.99,84.4,79.35
WI,E,Low Revenue,0.984,1.108,14.42,81.59,14.67,72.13,80.95
WI,E,Low Revenue,0.829,0.799,17.02,72.79,18.37,41.7,66.1
WI,EN,High Revenue,0.984,0.936,8.08,84.31,10.33,83.53,76.04
WI,B,Low Revenue,0.922,0.998,3.61,85.92,5.42,88.19,79.01
WI,B,High Revenue,1.008,0.967,2.94,89.81,5.22,78.57,75.24
WI,EN,High Revenue,1.159,1.223,9.91,96.51,5.24,81.03,74.12
WI,E,Low Revenue,0.89,0.722,1.86,82.91,5.36,77.03,83.14
WI,B,Low Revenue,0.991,0.923,2.68,81.42,6.79,88.66,77.08
WI,E,High Revenue,1.055,1.038,9.33,83.86,5.08,89.32,80.36
WI,EN,High Revenue,0.949,0.773,15.39,87.29,5.75,92.19,82.1
WI,EN,High Revenue,0.911,0.839,7.08,81.53,7.3,85.43,78.1
WI,EN,High Revenue,1.046,0.995,11.92,82.78,6.56,79.85,84.73
WI,EN,High Revenue,1.047,1.044,4.24,91.84,6.09,83.88,82.98
WI,E,Low Revenue,0.964,0.925,10.81,78.5,14.11,68.58,85.59
eCQM,E,High Revenue,0.919,0.892,9.22,80.23,40.6,60.88,76.19
eCQM,E,High Revenue,0.926,0.836,7.31,52.04,42.15,46.69,64.25
WI,E,Low Revenue,0.947,0.935,7.98,80.32,8.65,88.33,81.17
WI,A,High Revenue,0.981,0.911,6.98,86.06,9.89,80.6,82.03
WI,EN,High Revenue,0.985,0.996,7.2,89.99,12.21,81.07,76.34
WI,EN,Low Revenue,0.948,0.969,3.69,91.35,11.65,80.62,73.88
WI,EN,Low Revenue,0.883,0.892,4.68,88.79,7.14,90.07,83.1
WI,EN,Low Revenue,1.01,0.99,14.02,82.35,5.79,80.66,85.54
WI,EN,High Revenue,1.006,0.993,13.8,77.86,17.56,83.73,68.11
WI,B,High Revenue,0.899,0.975,41.44,79.86,12.71,52.65,74.57
WI,E,Low Revenue,0.907,0.929,7.78,94.32,5.4,90.62,73.82
WI,EN,Low Revenue,1.036,0.967,4.47,83.96,5.41,89.85,80.79
eCQM,EN,Low Revenue,0.941,0.752,19.78,77.97,30.44,82.49,63.24
WI,B,Low Revenue,0.969,0.868,38.37,85.37,12.46,71.24,82.56
WI,E,Low Revenue,0.932,0.806,4.99,85.55,10.15,67.59,84.67
WI,EN,Low Revenue,0.944,0.952,3.95,86.2,11.57,81.56,87.38
WI,EN,Low Revenue,0.976,0.83,15.53,88.32,8.48,90.99,81.52
WI,EN,Low Revenue,1.037,0.879,18.44,85.86,13.57,75.97,77.33
WI,A,High Revenue,1.008,0.934,4.73,80.61,8.87,74.17,73.52
WI,EN,Low Revenue,1.101,1.043,20.45,83.59,11.91,81.37,82.78
WI,EN,High Revenue,1.039,0.989,7.39,81.59,11.21,85.8,78.66
WI,EN,Low Revenue,0.796,0.668,32.03,82.25,16.92,96.33,75.96
WI,B,Low Revenue,1.013,0.962,8.2,87.82,7.97,80.39,84.7
eCQM,EN,Low Revenue,2.269,1.625,31.11,83.32,19.99,71.1,81.8
WI,EN,High Revenue,0.972,0.932,5.04,92.42,5.91,96.67,82.8
WI,B,High Revenue,1.014,0.931,4.07,82.14,8.08,88.17,67.3
WI,B,Low Revenue,0.913,0.928,15.28,86.27,7.81,82.41,81.69
WI,E,Low Revenue,0.975,1.109,7.78,85.2,9.5,88.97,80.34
WI,E,High Revenue,1.023,1.047,8.95,89.86,6.08,87.03,82.57
eCQM,E,Low Revenue,1.067,1.161,24.89,77.01,29.18,83.26,72.65
WI,EN,Low Revenue,1.005,0.867,8.4,90.35,5.97,90.39,86.79
WI,EN,Low Revenue,1.116,0.859,11.16,86.3,9.79,84.6,94.4
WI,E,Low Revenue,1.064,1.039,2.51,89.55,7.86,92.31,77.54
WI,E,Low Revenue,1.012,0.936,20.33,89.39,9.7,88.56,82.28
WI,A,Low Revenue,1.144,1.147,5.54,77.05,15.18,50.86,89.96
WI,A,Low Revenue,1.031,1.042,8.25,76.45,18.62,62.77,84.14
WI,E,Low Revenue,0.985,0.918,5.24,79.52,9.32,57.2,84.65
WI,EN,Low Revenue,1.128,1.021,5.32,82.83,5.34,84.94,85.44
WI,E,Low Revenue,1.032,0.984,9.75,78.49,17.03,72.62,88.15
WI,A,High Revenue,1.067,0.881,16.21,84.29,10.32,74.56,76.95
WI,EN,Low Revenue,1.07,0.988,16.81,87.62,7.82,76.92,85.07
WI,B,High Revenue,0.941,0.915,18.08,87.76,7.15,87.24,80.47
WI,E,Low Revenue,0.976,0.982,6.6,90.51,5.08,98.01,73.34
WI,EN,Low Revenue,1.026,1.032,7.0,88.59,9.27,80.88,70.52
WI,EN,High Revenue,1.125,1.067,2.93,84.49,8.45,82.23,66.53
WI,EN,High Revenue,1.063,0.959,6.85,90.6,7.07,88.06,74.7
WI,A,High Revenue,0.926,0.904,4.8,80.39,5.45,59.46,75.4
WI,E,Low Revenue,0.942,0.897,6.85,85.45,7.99,83.07,81.12
WI,C,High Revenue,1.084,1.096,2.84,86.5,9.27,74.8,70.07
eCQM,EN,High Revenue,1.025,1.045,3.83,65.88,25.71,29.21,68.34
WI,E,Low Revenue,0.962,0.999,1.04,83.92,6.71,76.52,85.5
WI,B,Low Revenue,0.88,0.653,3.09,85.1,9.02,76.86,88.58
WI,EN,High Revenue,1.031,1.059,11.39,87.38,7.98,73.82,90.59
WI,A,High Revenue,0.906,0.921,8.11,80.38,6.61,67.55,74.32
WI,EN,High Revenue,1.047,1.029,2.56,72.02,16.26,70.98,78.44
WI,EN,High Revenue,1.066,1.217,9.49,98.56,4.63,97.41,85.39
eCQM,EN,Low Revenue,1.016,1.111,6.09,80.32,18.56,55.31,79.96
WI,EN,High Revenue,1.146,0.994,8.64,71.42,13.54,65.33,86.25
WI,A,High Revenue,0.846,0.959,5.78,73.23,8.96,82.49,72.85
WI,EN,Low Revenue,0.974,0.865,5.99,98.49,3.63,93.55,87.32
WI,EN,High Revenue,1.069,1.169,11.3,98.1,3.27,96.02,84.0
WI,EN,Low Revenue,0.963,0.953,5.69,86.24,9.37,79.01,84.81
WI,EN,Low Revenue,0.978,0.952,3.84,81.93,5.11,83.08,84.31
WI,EN,High Revenue,0.919,0.983,7.47,78.71,13.76,86.31,79.75
WI,EN,Low Revenue,0.92,0.861,7.96,87.42,7.41,76.25,77.85
WI,EN,Low Revenue,0.952,0.797,16.31,84.51,11.59,88.25,77.68
WI,E,Low Revenue,0.98,0.979,7.49,86.22,5.43,73.55,86.35
WI,EN,High Revenue,0.949,0.9,3.89,91.76,6.89,89.62,82.79
WI,B,Low Revenue,1.01,1.029,5.04,81.94,6.13,86.3,82.51
eCQM,E,High Revenue,0.961,0.854,9.81,60.26,50.86,34.48,62.0
WI,A,Low Revenue,0.948,1.0,4.83,85.57,10.05,87.58,82.33
WI,EN,High Revenue,1.057,1.0,9.76,87.7,8.06,93.36,78.23
eCQM,E,High Revenue,1.051,0.9,6.06,51.27,55.8,33.84,68.8
eCQM,E,High Revenue,0.972,0.95,5.78,51.4,48.4,47.72,65.15
eCQM,E,High Revenue,0.86,0.755,6.13,77.05,56.3,65.36,61.51
WI,EN,High Revenue,1.038,0.993,18.32,83.38,8.01,83.22,81.74
WI,EN,Low Revenue,0.887,0.899,14.91,77.05,8.24,54.86,76.15
WI,B,Low Revenue,1.032,0.798,8.64,78.84,10.36,73.63,87.7
WI,EN,High Revenue,0.96,0.978,2.26,94.57,5.5,91.92,80.99
WI,A,Low Revenue,0.848,0.792,27.57,83.13,13.13,88.06,74.19
eCQM,EN,High Revenue,1.133,1.173,4.27,78.18,29.57,58.02,77.19
WI,A,Low Revenue,0.838,0.749,6.47,80.87,11.09,63.09,77.65
